max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
2750.11,1361.89,-247.508,-521.173,-1123.91,2653.08,-264.414,-456.466,2080.85,-2041.43,-2184.35,-259.612,989.296,2750.11,1256.31,228.208,1539.2,2081.94,2380,1078.4,1778.03,2673.61,-178.971,2238.58,1000.76,-81.5418,1146.26,-1566.49
2646.25,1760.85,481.1,6.26571,398.95,2646.25,550.982,92.6923,2188.03,-1049.05,-112.508,867.447,904.929,2488.24,1339.45,293.407,1554.05,2178.55,2009.69,1083.7,2029.52,1033.9,-19.6148,2183.66,927.882,668.75,1519.74,-568.973
3509.62,3509.62,-241.32,-1239.32,-330.388,1257.19,-175.171,-294.5,-1315.06,2486.5,-1304.71,488.336,1231.16,3203.05,1231.85,461.077,1653.78,2524.02,1838.51,1538.75,846.783,965.654,-468.024,-222.312,1124.25,1132.9,594.059,-993.658
2820.47,2138.69,-126.186,-522.281,-741.163,2334.7,-207.436,-76.9686,2820.47,-1427.56,-1483.71,485.017,867.671,2222.35,1430.35,239.045,1575.75,2195.57,2098.55,984.456,2239.33,593.874,1540.88,2398.42,846.47,572.308,1311.61,-1396.5
2684.13,1995.8,-1029.57,1713.62,-472.258,2526.99,-91.7429,-146.226,2487.71,1185.19,-1001.7,631.97,1198.64,2617.72,1303.08,211.586,1504.04,2560.82,2684.13,1432.15,2174.89,1321.69,1351.58,2381.95,870.89,1174.33,991.427,-185.322
2602.32,1367.19,-381.511,439.014,-832.624,2220.73,-546.368,-597.463,1806.74,1959.36,-2130.37,-335.747,995.337,2602.32,1324.38,322.016,1559.1,2231.44,2174.61,2061.47,916.451,-68.6782,429.051,-127.216,1002.54,-105.694,873.389,-1529.41
6010.83,5563.09,5256.04,5355.66,2772.67,2002.55,5382.96,4625.86,5283.04,6010.83,5836.76,5315.24,1496.82,3127.89,1168.82,461.723,1615.13,4198.62,2373.68,4053.79,2422.74,4000,4782.61,2828.08,1086.59,5513.25,5183.1,5919.25
2963.34,2963.34,647.065,1513.54,1001.22,1364.97,1830.99,2227.92,2189.34,2070.86,2388.3,1555.33,1074.36,2438.84,1161.94,398.918,1538.05,2365.95,2266.5,1693.6,1115.07,1474.79,2043.32,2307.69,1170.03,2266.07,2263.73,1415.38
4306.09,2084.5,324.355,10.5264,501.75,3175.9,788.933,2922.59,2054.01,4012.02,-923.937,751.445,4306.09,3798.79,989.163,1100.42,1781.75,2656.86,3002.5,1279.22,-428.287,768.996,2712.3,1608.26,563.992,1486.38,3456.61,-349.463
4004.91,2997.68,398.745,69.3995,3037.29,1375.69,401.022,2150.72,231.884,1570.67,-1317.07,568.9,4004.91,3039.76,752.412,690.057,1824.02,2584.01,1191.63,1140.1,994.664,470.724,2608.35,1465.53,489.887,682.731,2860.88,-514.483
